created_at,created_by,message,team
2017-03-07T22:57:20Z,user2,added screenshots and minor formatting,team2
2017-03-07T22:49:12Z,user2,"Merge pull request #77 from SE17GroupH/kg

low res screenshots",team2
2017-03-07T22:48:10Z,user2,low res screenshots,team2
2017-03-07T22:42:09Z,user2,"Merge pull request #76 from SE17GroupH/kg

added screenshots",team2
2017-03-07T22:41:42Z,user2,added screenshots,team2
2017-03-07T22:31:17Z,user2,"Merge pull request #75 from SE17GroupH/kg

fix incorrect voice-phrase crash",team2
2017-03-07T22:22:44Z,user2,fix incorrect voice-phrase crash,team2
2017-03-07T22:16:36Z,user1,fix conflicts,team2
2017-03-07T22:15:54Z,user2,"Merge pull request #74 from SE17GroupH/kg

Kg",team2
2017-03-07T22:09:25Z,user1,Design and write more tests,team2
2017-03-07T22:01:55Z,user2,UI improvements,team2
2017-03-07T21:05:45Z,user2,improving UI,team2
2017-03-07T20:07:23Z,user2,"Merge pull request #73 from SE17GroupH/kg

Kg",team2
2017-03-07T19:58:08Z,user2,another test added,team2
2017-03-07T19:53:03Z,user2,basic end-to-end test added,team2
2017-03-07T19:03:24Z,user2,"Merge pull request #72 from SE17GroupH/kg

Kg",team2
2017-03-07T18:55:08Z,user2,minor changes,team2
2017-03-07T18:50:51Z,user2,refactorings,team2
2017-03-07T18:45:56Z,user2,added email and password check tests,team2
2017-03-07T18:18:41Z,user2,remove apikey toast,team2
2017-03-06T16:27:11Z,user1,move to another repo,team2
2017-03-05T20:23:11Z,user1,"Merge pull request #70 from SE17GroupH/sid

Store and use API keys from travis",team2
2017-03-05T20:13:33Z,user1,Merge branch 'master' into sid,team2
2017-03-05T20:13:01Z,user1,modify travis config,team2
2017-03-05T19:26:25Z,user1,modify to use environment variable,team2
2017-03-05T18:54:01Z,user1,modify config,team2
2017-03-05T18:33:27Z,user1,modify config,team2
2017-03-05T18:20:50Z,user1,modify config,team2
2017-03-05T18:05:17Z,user1,modify config,team2
2017-03-05T17:55:38Z,user1,modify config,team2
2017-03-05T17:47:57Z,user1,use subkey.java for keys,team2
2017-03-05T16:46:37Z,user1,"Merge pull request #68 from SE17GroupH/sid

Fix travis build config",team2
2017-03-05T16:37:40Z,user1,fix licenses,team2
2017-03-05T16:31:41Z,user1,add licenses,team2
2017-03-05T16:21:36Z,user1,remove emulator,team2
2017-03-05T15:35:05Z,user1,fix emulator,team2
2017-03-05T15:20:28Z,user1,fix emulator,team2
2017-03-05T15:09:00Z,user1,fix start emulator,team2
2017-03-05T15:01:13Z,user1,add commands to start emulator,team2
2017-03-05T09:15:18Z,user1,remove lint error abort,team2
2017-03-05T09:06:06Z,user1,Fix bug wrong resource id,team2
2017-03-05T08:54:36Z,user1,update to work with api keys as env variables,team2
2017-03-05T07:06:58Z,user1,update travis config,team2
2017-03-05T07:04:27Z,user1,update travis config,team2
2017-03-05T06:48:48Z,user1,update travis config,team2
2017-03-05T06:37:22Z,user1,"Merge pull request #67 from SE17GroupH/sid

fix travis config",team2
2017-03-05T06:31:47Z,user1,Update README.md,team2
2017-03-05T06:25:15Z,user1,update sudo to true,team2
2017-03-05T06:21:12Z,user1,update sudo requirement,team2
2017-03-05T06:12:34Z,user1,update java version,team2
2017-03-05T06:08:51Z,user1,"Merge pull request #66 from SE17GroupH/sid

Fix bugs, optimize and add config",team2
2017-03-05T06:06:02Z,user1,add config file,team2
2017-03-05T06:05:39Z,user1,add travis config,team2
2017-03-05T06:05:20Z,user1,Add travis config and license,team2
2017-03-04T19:22:16Z,user1,Merge branch 'master' into sid,team2
2017-03-04T19:20:59Z,user1,update gradle and android studio,team2
2017-03-01T02:31:43Z,user1,Add February report,team2
2017-02-26T20:04:34Z,user1,Update README.md,team2
2017-02-26T20:03:30Z,user1,Update README.md,team2
2017-02-26T20:00:51Z,user1,Update README.md,team2
2017-02-26T19:31:26Z,user1,Update README with more info,team2
2017-02-25T23:29:54Z,user1,Some fixes,team2
2017-02-23T19:54:02Z,user1,Resolve conflict,team2
2017-02-23T19:52:00Z,user1,change voice enroll to async task,team2
2017-02-23T19:51:03Z,user2,"Merge pull request #58 from SE17GroupH/kg

seperated register API call from main thread",team2
2017-02-23T19:50:41Z,user2,seperated register API call from main thread,team2
2017-02-23T19:38:22Z,user2,"Merge pull request #57 from SE17GroupH/kg

seperated magic-link email call from main thread",team2
2017-02-23T19:37:51Z,user2,seperated magic-link email call from main thread,team2
2017-02-23T19:12:51Z,user2,"Merge pull request #56 from SE17GroupH/kg

default login in background thread",team2
2017-02-23T19:12:06Z,user2,default login in background thread,team2
2017-02-23T18:52:17Z,user2,"Merge pull request #55 from SE17GroupH/kg

minor changes",team2
2017-02-23T18:52:02Z,user2,minor changes,team2
2017-02-23T18:33:12Z,user1,Merge branch 'master' into sid,team2
2017-02-21T21:53:18Z,user2,"Merge pull request #54 from SE17GroupH/kg

put magic-link login API call on background thread",team2
2017-02-21T21:52:36Z,user2,put magic-link login API call on background thread,team2
2017-02-21T04:18:23Z,user1,Merge branch 'master' into sid,team2
2017-02-21T03:14:52Z,user2,"Merge pull request #53 from SE17GroupH/kg

minor changes",team2
2017-02-21T03:14:18Z,user2,minor changes,team2
2017-02-21T02:50:16Z,user1,Merge branch 'master' into sid,team2
2017-02-21T02:42:41Z,user2,"Merge pull request #52 from SE17GroupH/kg

Kg",team2
2017-02-21T02:40:55Z,user2,linked api call to login from magic link,team2
2017-02-21T02:25:57Z,user2,parse auth token from magic-url,team2
2017-02-21T02:08:11Z,user2,"Merge pull request #51 from SE17GroupH/kg

Kg",team2
2017-02-21T02:05:06Z,user2,link magic link to a new activity,team2
2017-02-21T01:50:13Z,user2,UI mod for homepage,team2
2017-02-20T21:47:37Z,user2,permission deny crash fixed,team2
2017-02-20T17:31:25Z,user1,"Fix magic link bug, was using wrong url",team2
2017-02-20T07:28:46Z,user1,Implement magic api call. Remove logout call.,team2
