,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
0,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",0,1492655404.0,1486503996.0,1484575566.0,7,[u'e6e6e6'],[u'invalid'],None,None,None,None,None,None,Survey Questions,harshalgala
1,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",3,1492655380.0,1486504127.0,1485638571.0,12,[u'c2e0c6'],[u'PPT/Report'],753478.0,34794.0,Project Report,1486395484.0,1485642006.0,1485676800.0,1st Report,harshalgala
2,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",4,1492655367.0,1486504136.0,1485704833.0,13,[u'c2e0c6'],[u'PPT/Report'],689970.0,144092.0,20 20 Project Presentation,1486395478.0,1485705508.0,1485849600.0,20-20 Presentation,harshalgala
3,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",0,1492655350.0,1484933574.0,1484575900.0,8,[u'fef2c0'],[u'Meeting'],None,None,None,None,None,None,Next Meeting,harshalgala
4,labeled,timm,"[u'timm', u'effat', u'qiufengyu21', u'gosavipooja']",12,1492655313.0,1486504005.0,1484882215.0,9,[u'006b75'],[u'Topics'],None,None,None,None,None,None,Detail explanation of Ideas,harshalgala
5,labeled,harshalgala,"[u'qiufengyu21', u'harshalgala']",2,1492655287.0,1486504028.0,1484933641.0,10,[u'fef2c0'],[u'Meeting'],None,None,None,None,None,None,Next Meeting,harshalgala
6,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",0,1492655273.0,1486504038.0,1485440079.0,11,[u'fef2c0'],[u'Meeting'],201841.0,,Paper link sharing by 9 pm ,1485641954.0,1485440113.0,,Meeting on Friday from 4.30 to 7.30,harshalgala
7,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",4,1492655255.0,1487090748.0,1485705647.0,14,[u'fef2c0'],[u'Meeting'],None,None,None,None,None,None,Meeting on Tuesday,harshalgala
8,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",0,1492655242.0,1486396943.0,1486342272.0,15,[u'fef2c0'],[u'Meeting'],None,317890.0,Brain Storming of ideas and finalizing the three ways ,None,1486395710.0,1486713600.0,Phase 2's meeting(Coding Month) ,harshalgala
9,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",3,1492655166.0,1486503989.0,1484575213.0,6,[u'006b75'],[u'Topics'],None,None,None,None,None,None,Division on topics and discuss the details out here,harshalgala
10,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",0,1492655104.0,1486503982.0,1484520192.0,5,[u'd4c5f9'],[u'Literature'],None,None,None,None,None,None,Table like a trade-off table,harshalgala
11,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",2,1492654980.0,1486503967.0,1484519600.0,3,[u'128A0C'],[u'help wanted'],None,None,None,None,None,None,Literature Survey Related ,harshalgala
12,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",0,1492654951.0,1486503974.0,1484519810.0,4,[u'ffffff'],[u'wontfix'],None,None,None,None,None,None,Output from the professor and TA,harshalgala
13,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",2,1492654614.0,1486503960.0,1484447210.0,2,[u'e6e6e6'],[u'invalid'],None,None,None,None,None,None,Project Flow (If any suggestions tell me),harshalgala
14,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",0,1492654581.0,1488206230.0,1486567736.0,16,[u'fbca04'],[u'Working'],None,1527359.0,Completion of other 2 methods,None,1486395841.0,1487923200.0,Division of work,harshalgala
15,labeled,qiufengyu21,"[u'qiufengyu21', u'harshalgala', u'gosavipooja']",2,1492654451.0,1489515017.0,1487092656.0,19,[u'fbca04'],[u'Working'],None,None,None,None,None,None,Code development -- Fingerprint,harshalgala
16,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",1,1492654394.0,1489515056.0,1487092674.0,20,[u'128A0C'],[u'help wanted'],None,None,None,None,None,None,Code Development -- GPS,harshalgala
17,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",1,1492654375.0,1489515064.0,1487092786.0,21,[u'84b6eb'],[u'enhancement'],None,None,None,None,None,None,Code Development -- Bar Code,harshalgala
18,labeled,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",0,1492654355.0,1491942899.0,1487092925.0,22,[u'0052cc'],[u'Testing'],None,None,None,None,None,None,Deployment and Testing,harshalgala
19,labeled,[],[],1,1492654253.0,1489515086.0,1488215720.0,24,[u'ee0701'],[u'bug'],None,None,None,None,None,None,Creating a new activity for registration of the student in the system.,harshalgala
20,labeled,[],[],1,1492654124.0,1489515072.0,1488206216.0,23,[u'84b6eb'],[u'enhancement'],None,None,None,None,None,None,Make the UI and to register user to Db in face recognition,harshalgala
21,labeled,[],[],0,1492653999.0,1490918602.0,1488381096.0,25,[u'cc317c'],[u'question'],None,None,None,None,None,None,interesting pattern of activity,harshalgala
22,closed,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",0,1491942899.0,1491942899.0,1487092925.0,22,[u'0052cc'],[u'Testing'],None,None,None,None,None,None,Deployment and Testing,harshalgala
23,closed,[],[],0,1490918602.0,1490918602.0,1488381096.0,25,[u'cc317c'],[u'question'],None,None,None,None,None,None,interesting pattern of activity,harshalgala
24,closed,[],[],0,1489636856.0,1489636856.0,1489636819.0,27,[],[],None,None,None,None,None,None,README change,qiufengyu21
25,closed,[],[],0,1489635159.0,1489635159.0,1489635112.0,26,[],[],None,None,None,None,None,None,Update README.md,qiufengyu21
26,closed,[],[],1,1489515086.0,1489515086.0,1488215720.0,24,[u'ee0701'],[u'bug'],None,None,None,None,None,None,Creating a new activity for registration of the student in the system.,harshalgala
27,closed,[],[],1,1489515072.0,1489515072.0,1488206216.0,23,[u'84b6eb'],[u'enhancement'],None,None,None,None,None,None,Make the UI and to register user to Db in face recognition,harshalgala
28,closed,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",1,1489515065.0,1489515064.0,1487092786.0,21,[u'84b6eb'],[u'enhancement'],None,None,None,None,None,None,Code Development -- Bar Code,harshalgala
29,closed,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",1,1489515057.0,1489515056.0,1487092674.0,20,[u'128A0C'],[u'help wanted'],None,None,None,None,None,None,Code Development -- GPS,harshalgala
30,closed,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",1,1489515047.0,1489515047.0,1487092549.0,18,[u'128A0C'],[u'help wanted'],None,None,None,None,None,None,Database Creation,harshalgala
31,closed,qiufengyu21,"[u'qiufengyu21', u'harshalgala', u'gosavipooja']",2,1489515017.0,1489515017.0,1487092656.0,19,[u'fbca04'],[u'Working'],None,None,None,None,None,None,Code development -- Fingerprint,harshalgala
32,closed,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",0,1488206230.0,1488206230.0,1486567736.0,16,[u'fbca04'],[u'Working'],None,1527359.0,Completion of other 2 methods,None,1486395841.0,1487923200.0,Division of work,harshalgala
33,closed,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",3,1487465341.0,1487465341.0,1486568322.0,17,[u'128A0C'],[u'help wanted'],None,922615.0,Completion of the Interface and implementation of 1st method,None,1486395785.0,1487318400.0,Meeting on Tuesday ,harshalgala
34,assigned,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",0,1487092937.0,1491942899.0,1487092925.0,22,[u'0052cc'],[u'Testing'],None,None,None,None,None,None,Deployment and Testing,gosavipooja
35,assigned,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",0,1487092937.0,1491942899.0,1487092925.0,22,[u'0052cc'],[u'Testing'],None,None,None,None,None,None,Deployment and Testing,qiufengyu21
36,assigned,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",1,1487092787.0,1489515064.0,1487092786.0,21,[u'84b6eb'],[u'enhancement'],None,None,None,None,None,None,Code Development -- Bar Code,gosavipooja
37,assigned,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",1,1487092787.0,1489515064.0,1487092786.0,21,[u'84b6eb'],[u'enhancement'],None,None,None,None,None,None,Code Development -- Bar Code,qiufengyu21
38,assigned,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",1,1487092743.0,1489515056.0,1487092674.0,20,[u'128A0C'],[u'help wanted'],None,None,None,None,None,None,Code Development -- GPS,gosavipooja
39,assigned,qiufengyu21,"[u'qiufengyu21', u'gosavipooja']",1,1487092743.0,1489515056.0,1487092674.0,20,[u'128A0C'],[u'help wanted'],None,None,None,None,None,None,Code Development -- GPS,qiufengyu21
40,assigned,qiufengyu21,"[u'qiufengyu21', u'harshalgala', u'gosavipooja']",2,1487092726.0,1489515017.0,1487092656.0,19,[u'fbca04'],[u'Working'],None,None,None,None,None,None,Code development -- Fingerprint,qiufengyu21
