,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
0,closed,SidHeg,[u'SidHeg'],2,1492666296.0,1492666296.0,1488379472.0,36,[],[],None,None,None,None,None,None,comment: feb deliverables look interesting,saravanan19
1,closed,[],[],0,1489118352.0,1489118352.0,1489118333.0,37,[],[],None,None,None,None,None,None,qrcode display updated,SidHeg
2,merged,[],[],0,1489118352.0,1489118352.0,1489118333.0,37,[],[],None,None,None,None,None,None,qrcode display updated,SidHeg
3,referenced,[],[],0,1489118352.0,1489118352.0,1489118333.0,37,[],[],None,None,None,None,None,None,qrcode display updated,SidHeg
4,assigned,SidHeg,[u'SidHeg'],2,1488399539.0,1492666296.0,1488379472.0,36,[],[],None,None,None,None,None,None,comment: feb deliverables look interesting,SidHeg
5,closed,[],[],0,1488341422.0,1488341422.0,1488341415.0,35,[],[],None,None,None,None,None,None,completed feb report,SidHeg
6,merged,[],[],0,1488341422.0,1488341422.0,1488341415.0,35,[],[],None,None,None,None,None,None,completed feb report,SidHeg
7,referenced,[],[],0,1488341422.0,1488341422.0,1488341415.0,35,[],[],None,None,None,None,None,None,completed feb report,SidHeg
8,closed,[],[],0,1488336211.0,1488336211.0,1488336206.0,34,[],[],None,None,None,None,None,None,Build script modified to support unit testing,saravanan19
9,merged,[],[],0,1488336211.0,1488336211.0,1488336206.0,34,[],[],None,None,None,None,None,None,Build script modified to support unit testing,saravanan19
10,referenced,[],[],0,1488336211.0,1488336211.0,1488336206.0,34,[],[],None,None,None,None,None,None,Build script modified to support unit testing,saravanan19
11,closed,[],[],0,1488260181.0,1488260181.0,1488260172.0,33,[],[],None,None,None,None,None,None,finished,SidHeg
12,merged,[],[],0,1488260181.0,1488260181.0,1488260172.0,33,[],[],None,None,None,None,None,None,finished,SidHeg
13,referenced,[],[],0,1488260181.0,1488260181.0,1488260172.0,33,[],[],None,None,None,None,None,None,finished,SidHeg
