,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
0,closed,[],[],1,1491582021.0,1491582021.0,1489850439.0,24,[],[],None,None,None,None,None,None,User Evaluations Techniques,bhushan9
1,closed,ZacheryThomas,[u'ZacheryThomas'],0,1490981890.0,1490981890.0,1487870230.0,18,[u'84b6eb'],[u'enhancement'],5535608.0,1857550.0,Explore feasibility of automatic posts to Twitter and Facebook page,1491946858.0,1486411250.0,1488268800.0,Better splitting of large news stories on Twitter.,bhushan9
2,closed,ZacheryThomas,[u'ZacheryThomas'],1,1490981171.0,1490981171.0,1487870068.0,16,[u'fbca04'],[u'feature'],5535648.0,1857593.0,Get Server Side framework up and running,1491946855.0,1486411207.0,1488268800.0,Prefetching the news article to improve the response time.,bhushan9
3,closed,rnambis,[u'rnambis'],0,1490981156.0,1490981156.0,1489850503.0,25,[],[],None,None,None,None,None,None,Creating another database for storing user generated data.,bhushan9
4,closed,[],[],0,1490981108.0,1490981108.0,1489851916.0,26,[],[],None,None,None,None,None,None,Refresh newsfeed,bhushan9
5,closed,ZacheryThomas,[u'ZacheryThomas'],1,1490981095.0,1490981095.0,1489167937.0,22,[u'ee0701'],[u'bug'],None,None,None,None,None,None,Responsive Voice Issue,bhushan9
6,closed,[],[],0,1490742300.0,1490742300.0,1490742211.0,27,[],[],None,None,None,None,None,None,merge changes,bhushan9
7,merged,[],[],0,1490742300.0,1490742300.0,1490742211.0,27,[],[],None,None,None,None,None,None,merge changes,bhushan9
8,referenced,[],[],0,1490742300.0,1490742300.0,1490742211.0,27,[],[],None,None,None,None,None,None,merge changes,bhushan9
9,assigned,rnambis,[u'rnambis'],0,1489850503.0,1490981156.0,1489850503.0,25,[],[],None,None,None,None,None,None,Creating another database for storing user generated data.,rnambis
10,closed,[],[],0,1489850241.0,1489850241.0,1487869962.0,15,[],[],None,None,None,None,None,None,Look into text-to-speech API for third implementation.,bhushan9
11,closed,[],[],1,1489850170.0,1489850170.0,1487870147.0,17,[],[],None,None,None,None,None,None,Uniform web page design across all webpages,bhushan9
12,closed,[],[],0,1489850159.0,1489850159.0,1488380887.0,21,[],[],None,None,None,None,None,None,interesting patterns in your work,bhushan9
13,closed,[],[],0,1489378845.0,1489378845.0,1489168287.0,23,[u'fbca04'],[u'feature'],None,None,None,None,None,None,Need to add refresh button.,bhushan9
14,labeled,[],[],0,1489168287.0,1489378845.0,1489168287.0,23,[u'fbca04'],[u'feature'],None,None,None,None,None,None,Need to add refresh button.,bhushan9
15,assigned,ZacheryThomas,[u'ZacheryThomas'],1,1489167937.0,1490981095.0,1489167937.0,22,[u'ee0701'],[u'bug'],None,None,None,None,None,None,Responsive Voice Issue,ZacheryThomas
16,labeled,ZacheryThomas,[u'ZacheryThomas'],1,1489167937.0,1490981095.0,1489167937.0,22,[u'ee0701'],[u'bug'],None,None,None,None,None,None,Responsive Voice Issue,bhushan9
17,closed,[],[],1,1489123535.0,1489123535.0,1487870705.0,19,[],[],None,None,None,None,None,None,Adding images to the newsfeed,bhushan9
18,closed,[],[],1,1489030480.0,1489030480.0,1487870766.0,20,[],[],None,None,None,None,None,None,Automatic scrolling feature for the newsfeed if the newsfeed is overflowing,bhushan9
19,closed,[],[],1,1487870404.0,1487870404.0,1487659601.0,14,[u'128A0C'],[u'help wanted'],None,None,None,None,None,None,Display the news on the same page,bhushan9
20,closed,rnambis,[u'rnambis'],0,1487870314.0,1487870314.0,1486493797.0,10,[],[],5535648.0,1857593.0,Get Server Side framework up and running,1491946855.0,1486411207.0,1488268800.0,Create Flask App with Login,bhushan9
21,assigned,ZacheryThomas,[u'ZacheryThomas'],0,1487870230.0,1490981890.0,1487870230.0,18,[u'84b6eb'],[u'enhancement'],5535608.0,1857550.0,Explore feasibility of automatic posts to Twitter and Facebook page,1491946858.0,1486411250.0,1488268800.0,Better splitting of large news stories on Twitter.,ZacheryThomas
22,milestoned,ZacheryThomas,[u'ZacheryThomas'],0,1487870230.0,1490981890.0,1487870230.0,18,[u'84b6eb'],[u'enhancement'],5535608.0,1857550.0,Explore feasibility of automatic posts to Twitter and Facebook page,1491946858.0,1486411250.0,1488268800.0,Better splitting of large news stories on Twitter.,ZacheryThomas
23,labeled,ZacheryThomas,[u'ZacheryThomas'],0,1487870230.0,1490981890.0,1487870230.0,18,[u'84b6eb'],[u'enhancement'],5535608.0,1857550.0,Explore feasibility of automatic posts to Twitter and Facebook page,1491946858.0,1486411250.0,1488268800.0,Better splitting of large news stories on Twitter.,ZacheryThomas
24,milestoned,ZacheryThomas,[u'ZacheryThomas'],1,1487870104.0,1490981171.0,1487870068.0,16,[u'fbca04'],[u'feature'],5535648.0,1857593.0,Get Server Side framework up and running,1491946855.0,1486411207.0,1488268800.0,Prefetching the news article to improve the response time.,ZacheryThomas
25,labeled,ZacheryThomas,[u'ZacheryThomas'],1,1487870095.0,1490981171.0,1487870068.0,16,[u'fbca04'],[u'feature'],5535648.0,1857593.0,Get Server Side framework up and running,1491946855.0,1486411207.0,1488268800.0,Prefetching the news article to improve the response time.,ZacheryThomas
26,assigned,ZacheryThomas,[u'ZacheryThomas'],1,1487870088.0,1490981171.0,1487870068.0,16,[u'fbca04'],[u'feature'],5535648.0,1857593.0,Get Server Side framework up and running,1491946855.0,1486411207.0,1488268800.0,Prefetching the news article to improve the response time.,ZacheryThomas
27,closed,ZacheryThomas,[u'ZacheryThomas'],0,1487870067.0,1487870067.0,1486493850.0,11,[u'fbca04'],[u'feature'],5535648.0,1857593.0,Get Server Side framework up and running,1491946855.0,1486411207.0,1488268800.0,Use Python News API to summarize an article,ZacheryThomas
28,unlabeled,[],[],1,1487659657.0,1487870404.0,1487659601.0,14,[u'128A0C'],[u'help wanted'],None,None,None,None,None,None,Display the news on the same page,bhushan9
29,labeled,[],[],1,1487659657.0,1487870404.0,1487659601.0,14,[u'128A0C'],[u'help wanted'],None,None,None,None,None,None,Display the news on the same page,bhushan9
30,closed,[],[],1,1487659621.0,1487659621.0,1486492656.0,9,[],[],5535648.0,1857593.0,Get Server Side framework up and running,1491946855.0,1486411207.0,1488268800.0,Brainstorming for project implementation methodology,bhushan9
31,labeled,[],[],1,1487659601.0,1487870404.0,1487659601.0,14,[u'128A0C'],[u'help wanted'],None,None,None,None,None,None,Display the news on the same page,bhushan9
32,labeled,ZacheryThomas,[u'ZacheryThomas'],0,1487432744.0,1487870067.0,1486493850.0,11,[u'fbca04'],[u'feature'],5535648.0,1857593.0,Get Server Side framework up and running,1491946855.0,1486411207.0,1488268800.0,Use Python News API to summarize an article,ZacheryThomas
33,assigned,ZacheryThomas,[u'ZacheryThomas'],0,1487432704.0,1487870067.0,1486493850.0,11,[u'fbca04'],[u'feature'],5535648.0,1857593.0,Get Server Side framework up and running,1491946855.0,1486411207.0,1488268800.0,Use Python News API to summarize an article,ZacheryThomas
34,renamed,[],[],0,1487432523.0,1486492352.0,1485019324.0,5,[u'5319e7'],[u'meeting'],None,None,None,None,None,None,1/21/17 Meeting Minutes,ZacheryThomas
35,labeled,[],[],1,1487432306.0,1486492453.0,1485200414.0,7,[u'5319e7'],[u'meeting'],None,None,None,None,None,None,1/23/17 Personal Interviews Ideas,ZacheryThomas
36,labeled,[],[],0,1487432296.0,1486492352.0,1485019324.0,5,[u'5319e7'],[u'meeting'],None,None,None,None,None,None,1/21/17 Meeting Minutes,ZacheryThomas
37,labeled,[],[],0,1487432279.0,1486492447.0,1485199304.0,6,[u'5319e7'],[u'meeting'],None,None,None,None,None,None,1/23/17 Meeting Minutes,ZacheryThomas
38,closed,ZacheryThomas,[u'ZacheryThomas'],1,1487432017.0,1487432017.0,1487431934.0,13,[],[],5535608.0,1857550.0,Explore feasibility of automatic posts to Twitter and Facebook page,1491946858.0,1486411250.0,1488268800.0,Use Twitter API to post messages from Python script.,ZacheryThomas
39,assigned,ZacheryThomas,[u'ZacheryThomas'],1,1487431934.0,1487432017.0,1487431934.0,13,[],[],5535608.0,1857550.0,Explore feasibility of automatic posts to Twitter and Facebook page,1491946858.0,1486411250.0,1488268800.0,Use Twitter API to post messages from Python script.,ZacheryThomas
40,milestoned,ZacheryThomas,[u'ZacheryThomas'],1,1487431934.0,1487432017.0,1487431934.0,13,[],[],5535608.0,1857550.0,Explore feasibility of automatic posts to Twitter and Facebook page,1491946858.0,1486411250.0,1488268800.0,Use Twitter API to post messages from Python script.,ZacheryThomas
41,closed,ZacheryThomas,[u'ZacheryThomas'],1,1486590358.0,1486590358.0,1486494893.0,12,[],[],5535608.0,1857550.0,Explore feasibility of automatic posts to Twitter and Facebook page,1491946858.0,1486411250.0,1488268800.0,Publish text to Facebook Page using API,ZacheryThomas
42,assigned,rnambis,[u'rnambis'],0,1486505259.0,1487870314.0,1486493797.0,10,[],[],5535648.0,1857593.0,Get Server Side framework up and running,1491946855.0,1486411207.0,1488268800.0,Create Flask App with Login,rnambis
43,assigned,ZacheryThomas,[u'ZacheryThomas'],1,1486494894.0,1486590358.0,1486494893.0,12,[],[],5535608.0,1857550.0,Explore feasibility of automatic posts to Twitter and Facebook page,1491946858.0,1486411250.0,1488268800.0,Publish text to Facebook Page using API,ZacheryThomas
44,milestoned,ZacheryThomas,[u'ZacheryThomas'],1,1486494894.0,1486590358.0,1486494893.0,12,[],[],5535608.0,1857550.0,Explore feasibility of automatic posts to Twitter and Facebook page,1491946858.0,1486411250.0,1488268800.0,Publish text to Facebook Page using API,ZacheryThomas
