,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
0,closed,[],[],0,1492603196.0,1492603196.0,1489702577.0,15,[],[],None,204504.0,Evaluation Plan,None,1489702296.0,1489906800.0,Evaluation Plan on Piazza,zsthampi
1,closed,adrianluan,"[u'adrianluan', u'zsthampi', u'fuzailm1']",0,1492603196.0,1492603196.0,1489528060.0,13,[],[],None,204504.0,Evaluation Plan,None,1489702296.0,1489906800.0,Evaluation Plan - General,zsthampi
2,closed,[],[],0,1492603196.0,1492603196.0,1487891173.0,10,[],[],None,4524462.0,March Milestone,None,1486419138.0,1490943600.0,Carrry over from Feb Milestone,zsthampi
3,closed,[],[],0,1492603196.0,1492603196.0,1486420244.0,8,[],[],None,1849830.0,February Milestone,None,1486418970.0,1488268800.0,Extension,zsthampi
4,closed,[],[],0,1492603196.0,1492603196.0,1486419365.0,7,[],[],None,4524462.0,March Milestone,None,1486419138.0,1490943600.0,Project Meetings,zsthampi
5,closed,[],[],2,1490647054.0,1490647054.0,1488380404.0,12,[],[],None,None,None,None,None,None,some interesting pattterns in your work,zsthampi
6,closed,[],[],0,1490647031.0,1490647031.0,1489702453.0,14,[],[],None,204504.0,Evaluation Plan,None,1489702296.0,1489906800.0,Evaluation Plan on Website,zsthampi
7,demilestoned,adrianluan,"[u'adrianluan', u'zsthampi', u'fuzailm1']",0,1489759563.0,1492603196.0,1489528060.0,13,[],[],None,204504.0,Evaluation Plan,None,1489702296.0,1489906800.0,Evaluation Plan - General,zsthampi
8,milestoned,adrianluan,"[u'adrianluan', u'zsthampi', u'fuzailm1']",0,1489759563.0,1492603196.0,1489528060.0,13,[],[],None,204504.0,Evaluation Plan,None,1489702296.0,1489906800.0,Evaluation Plan - General,zsthampi
9,milestoned,[],[],0,1489759542.0,1492603196.0,1489702577.0,15,[],[],None,204504.0,Evaluation Plan,None,1489702296.0,1489906800.0,Evaluation Plan on Piazza,zsthampi
10,renamed,adrianluan,"[u'adrianluan', u'zsthampi', u'fuzailm1']",0,1489703221.0,1492603196.0,1489528060.0,13,[],[],None,204504.0,Evaluation Plan,None,1489702296.0,1489906800.0,Evaluation Plan - General,zsthampi
11,milestoned,[],[],0,1489702460.0,1490647031.0,1489702453.0,14,[],[],None,204504.0,Evaluation Plan,None,1489702296.0,1489906800.0,Evaluation Plan on Website,zsthampi
12,assigned,adrianluan,"[u'adrianluan', u'zsthampi', u'fuzailm1']",0,1489528087.0,1492603196.0,1489528060.0,13,[],[],None,204504.0,Evaluation Plan,None,1489702296.0,1489906800.0,Evaluation Plan - General,zsthampi
13,assigned,adrianluan,"[u'adrianluan', u'zsthampi', u'fuzailm1']",0,1489528087.0,1492603196.0,1489528060.0,13,[],[],None,204504.0,Evaluation Plan,None,1489702296.0,1489906800.0,Evaluation Plan - General,adrianluan
14,assigned,adrianluan,"[u'adrianluan', u'zsthampi', u'fuzailm1']",0,1489528073.0,1492603196.0,1489528060.0,13,[],[],None,204504.0,Evaluation Plan,None,1489702296.0,1489906800.0,Evaluation Plan - General,fuzailm1
15,milestoned,adrianluan,"[u'adrianluan', u'zsthampi', u'fuzailm1']",0,1489528060.0,1492603196.0,1489528060.0,13,[],[],None,204504.0,Evaluation Plan,None,1489702296.0,1489906800.0,Evaluation Plan - General,fuzailm1
16,demilestoned,[],[],0,1488335883.0,1492603196.0,1486419365.0,7,[],[],None,4524462.0,March Milestone,None,1486419138.0,1490943600.0,Project Meetings,zsthampi
