,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
0,closed,ecdraayer,"[u'ecdraayer', u'Sanand007', u'syazdan25', u'MahnazBehroozi']",1,1488170434.0,1488170434.0,1486422657.0,13,[],[],None,1848074.0,February Milestone,None,1486420726.0,1488268800.0,Finalize Prototype for Demonstration (Due 24th),syazdan25
1,closed,[],[],5,1488167215.0,1488167215.0,1487713177.0,20,[],[],None,None,None,None,None,None,Python nltk code issues,Sanand007
2,closed,syazdan25,[u'syazdan25'],4,1487713572.0,1487713572.0,1486771825.0,19,[],[],None,1848074.0,February Milestone,None,1486420726.0,1488268800.0,Writing a program using Python and NLTK,syazdan25
3,closed,ecdraayer,"[u'ecdraayer', u'Sanand007', u'syazdan25', u'MahnazBehroozi']",1,1487609669.0,1487609669.0,1486421295.0,11,[],[],None,1848074.0,February Milestone,None,1486420726.0,1488268800.0,Have data from Amazon Pre-Processed (Due 20th),MahnazBehroozi
4,closed,ecdraayer,[u'ecdraayer'],1,1487609408.0,1487609408.0,1486771601.0,16,[],[],None,1848074.0,February Milestone,None,1486420726.0,1488268800.0,Investigate the google chrome extension possibility,MahnazBehroozi
5,closed,Sanand007,[u'Sanand007'],1,1487609222.0,1487609222.0,1486771758.0,18,[],[],None,1848074.0,February Milestone,None,1486420726.0,1488268800.0,Analyze Sentiment Web,MahnazBehroozi
6,closed,ecdraayer,"[u'ecdraayer', u'Sanand007', u'syazdan25', u'MahnazBehroozi']",1,1487485174.0,1487485174.0,1486422085.0,12,[],[],None,1848074.0,February Milestone,None,1486420726.0,1488268800.0,"Brainstorm Session: Finalize 3 Implementations, assign who will investigate what, decide on programming language (Due 10th)",syazdan25
7,closed,ecdraayer,"[u'ecdraayer', u'Sanand007', u'syazdan25', u'MahnazBehroozi']",1,1487485149.0,1487485149.0,1486423339.0,15,[],[],None,1848074.0,February Milestone,None,1486420726.0,1488268800.0,Brainstorming on the steps we want to take toward Feb. milestone (Due 6th),syazdan25
8,closed,ecdraayer,"[u'ecdraayer', u'Sanand007', u'syazdan25', u'MahnazBehroozi']",2,1487485100.0,1487485100.0,1486423222.0,14,[],[],None,1848074.0,February Milestone,None,1486420726.0,1488268800.0,Explore Different Sentiment Analysis Approach (Due 15th),syazdan25
9,closed,MahnazBehroozi,[u'MahnazBehroozi'],2,1487485047.0,1487485047.0,1486771705.0,17,[],[],None,None,None,None,None,None,Make a simple Web page using Flask in python,syazdan25
10,assigned,syazdan25,[u'syazdan25'],4,1486771825.0,1487713572.0,1486771825.0,19,[],[],None,1848074.0,February Milestone,None,1486420726.0,1488268800.0,Writing a program using Python and NLTK,syazdan25
