,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
0,labeled,DevArenaCN,[u'DevArenaCN'],1,1492569417.0,1486995969.0,1486672933.0,3,[u'0052cc'],[u'requirement'],None,None,None,None,None,None,Create documentation,DevArenaCN
1,labeled,DevArenaCN,[u'DevArenaCN'],1,1492569410.0,1486996001.0,1486672899.0,2,[u'0052cc'],[u'requirement'],None,None,None,None,None,None,Basic testing on the API calls,DevArenaCN
2,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",11,1492569396.0,1487298547.0,1486672853.0,1,[u'0052cc'],[u'requirement'],None,None,None,None,None,None,Server setup for Android App,DevArenaCN
3,closed,DevArenaCN,[u'DevArenaCN'],5,1492114627.0,1492114627.0,1488304522.0,18,[u'84b6eb'],[u'enhancement'],None,None,None,None,None,None,Creating API calls for storing Microsoft cognitive id,thegreyd
4,closed,thegreyd,"[u'thegreyd', u'DevArenaCN']",1,1490578265.0,1490578265.0,1490577713.0,24,[u'ee0701'],[u'bug'],None,None,None,None,None,None,Wrong Magic link,DevArenaCN
5,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN']",1,1490577714.0,1490578265.0,1490577713.0,24,[u'ee0701'],[u'bug'],None,None,None,None,None,None,Wrong Magic link,DevArenaCN
6,assigned,thegreyd,"[u'thegreyd', u'DevArenaCN']",1,1490577713.0,1490578265.0,1490577713.0,24,[u'ee0701'],[u'bug'],None,None,None,None,None,None,Wrong Magic link,thegreyd
7,labeled,thegreyd,"[u'thegreyd', u'DevArenaCN']",1,1490577713.0,1490578265.0,1490577713.0,24,[u'ee0701'],[u'bug'],None,None,None,None,None,None,Wrong Magic link,thegreyd
8,subscribed,DevArenaCN,[u'DevArenaCN'],5,1489265553.0,1492114627.0,1488304522.0,18,[u'84b6eb'],[u'enhancement'],None,None,None,None,None,None,Creating API calls for storing Microsoft cognitive id,DevArenaCN
9,mentioned,DevArenaCN,[u'DevArenaCN'],5,1489265553.0,1492114627.0,1488304522.0,18,[u'84b6eb'],[u'enhancement'],None,None,None,None,None,None,Creating API calls for storing Microsoft cognitive id,DevArenaCN
10,added_to_project,thegreyd,"[u'thegreyd', u'DevArenaCN']",1,1489191291.0,1489119085.0,1489019110.0,19,[u'84b6eb'],[u'enhancement'],None,455719.0,Demo Day,None,1489019081.0,1489474800.0,Confirmation mail,DevArenaCN
11,added_to_project,thegreyd,"[u'thegreyd', u'DevArenaCN']",4,1489191289.0,1489115829.0,1489088289.0,20,[u'ee0701'],[u'bug'],None,455719.0,Demo Day,None,1489019081.0,1489474800.0,Database information is public,DevArenaCN
12,closed,thegreyd,"[u'thegreyd', u'DevArenaCN']",1,1489119085.0,1489119085.0,1489019110.0,19,[u'84b6eb'],[u'enhancement'],None,455719.0,Demo Day,None,1489019081.0,1489474800.0,Confirmation mail,DevArenaCN
