closed_at,closed_issues,created_at,created_by,description,due_on,id,number,open_issues,state,team,title,updated_at
,18,2017-01-20T15:25:23Z,user1,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",2017-02-28T08:00:00Z,2267276,2,0,open,team6,FEB Milestone,2017-03-14T03:17:52Z
,0,2017-02-09T14:55:46Z,user1,,,2312070,4,0,open,team6,APR milestone,2017-02-09T14:55:46Z
,0,2017-02-09T14:55:34Z,user1,,,2312067,3,0,open,team6,MAR Milestone,2017-02-09T14:55:34Z
2017-01-31T01:48:43Z,10,2017-01-18T05:06:54Z,user1,"Conduct research on problems regarding a certain topic

Find volunteers for project testing/surveys

Find a group of users with experience of a particular problem

Conduct research on how people have tried to solve the problem (using software)

Prepare a briefing that includes but not limited to 3 different proposed solutions
",2017-01-31T08:00:00Z,2260454,1,0,closed,team6,JAN Milestone,2017-01-31T01:48:43Z
,1,2017-02-06T15:44:01Z,user2,Have to implement the rest of the project by this date as later testing has to be implemented,2017-02-24T08:00:00Z,2303043,9,0,open,team7,Completion of other 2 methods,2017-02-27T14:37:10Z
,1,2017-02-06T15:43:05Z,user2,After deciding implementing the first method and keep it later for testing and outlier cases,2017-02-17T08:00:00Z,2303042,8,0,open,team7,Completion of the Interface and implementation of 1st method,2017-02-19T00:49:01Z
2017-02-06T15:37:58Z,1,2017-01-29T15:58:28Z,user2,Have to complete the above-given wok division things by 2.00 pm Tuesday.,2017-01-31T08:00:00Z,2284810,6,0,closed,team7,20 20 Project Presentation,2017-02-07T21:48:56Z
2017-02-06T15:38:04Z,1,2017-01-28T22:20:06Z,user2,As per the check-list in the issue named 1st Report,2017-01-29T08:00:00Z,2284268,5,0,closed,team7,Project Report,2017-02-07T21:48:47Z
2017-01-28T22:19:14Z,1,2017-01-26T14:15:13Z,user2,,,2280089,2,0,closed,team7,Paper link sharing by 9 pm ,2017-02-07T21:47:18Z
,1,2017-02-06T15:41:50Z,user2,"Decide the topics and feasibility of all the methods and finalize the method which we have to do also think of how to implement it.
Of all the different method mentioned in the issues.",2017-02-10T08:00:00Z,2303040,7,0,open,team7,Brain Storming of ideas and finalizing the three ways ,2017-02-07T21:34:42Z
,0,2017-02-06T15:44:55Z,user2,By 28th do all the testing and try to make the best possible implementation.,2017-02-28T08:00:00Z,2303046,10,0,open,team7,Testing,2017-02-06T15:45:15Z
2017-01-28T22:19:20Z,0,2017-01-26T14:23:55Z,user2,"- We will divide the report making and the presentation work in between all of us and by Sunday we should be done with both the things.
- We have to meet on all the three days i.e. Friday, Saturday as well as Sunday.
- The reason being the presenter can once go through things and if any problems we can sort it out on Monday.
- As later next week we might all get a busy cause of the career fair and might not get all things done and loose some points.
- It's better to start ASAP.",2017-01-28T08:00:00Z,2280106,4,0,closed,team7,Start making the Presentation,2017-01-28T22:19:20Z
2017-01-28T22:19:16Z,0,2017-01-26T14:19:37Z,user2,"- We have to by tomorrow summarize all the literature and also cover up all the questions which are important with respect to the report.
- Division of work between all of us which should be done by Saturday.
- We are not only concentrating on a classrooms it can be career fairs, or conferences or annual meetups and other things.
- Think in this dimension so we will be at least above the rest of the teams did you'll got it.",2017-01-27T08:00:00Z,2280097,3,0,closed,team7,Analyzing from the responses and evaluation the different results,2017-01-28T22:19:16Z
2017-01-25T15:17:39Z,0,2017-01-24T22:58:00Z,user2,"Do the questions and post the google form by January 24rd, 2017.
Latest by 9.00pm

Posted on Slack all done.",,2275840,1,0,closed,team7,Survey Questions Completion,2017-01-25T15:18:29Z
