,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
0,milestoned,[],[],0,1488943461.0,,1488943461.0,30,[],[],None,648108.0,Implementation - Facial recognition,None,1487275092.0,1487923200.0,Existing enrollment,karanjadhav2508
1,closed,[],[],1,1488943359.0,1488943359.0,1487731582.0,17,[],[],None,648108.0,Implementation - Facial recognition,None,1487275092.0,1487923200.0,FR Impl #4 : Add Database,karanjadhav2508
2,milestoned,[],[],0,1488943355.0,,1488943355.0,29,[],[],None,648108.0,Implementation - Facial recognition,None,1487275092.0,1487923200.0,General refactor #1,karanjadhav2508
3,closed,[],[],1,1488943077.0,1488943077.0,1488942974.0,28,[],[],None,648108.0,Implementation - Facial recognition,None,1487275092.0,1487923200.0,FR Impl #5 : View Daily Attendance,karanjadhav2508
4,milestoned,[],[],1,1488942974.0,1488943077.0,1488942974.0,28,[],[],None,648108.0,Implementation - Facial recognition,None,1487275092.0,1487923200.0,FR Impl #5 : View Daily Attendance,karanjadhav2508
5,closed,smscoggi,[u'smscoggi'],6,1488330154.0,1488330154.0,1487843163.0,18,[],[],None,1764286.0,Design,None,1486504514.0,1488268800.0,Add Database-Finish Implementation(Engagement),smscoggi
6,closed,karanjadhav2508,"[u'karanjadhav2508', u'smscoggi', u'alokozai']",7,1488330028.0,1488330028.0,1488161186.0,22,[],[],None,1764286.0,Design,None,1486504514.0,1488268800.0,Creating SQL script to recreate database from github,smscoggi
7,closed,karanjadhav2508,"[u'karanjadhav2508', u'smscoggi', u'alokozai']",5,1488329989.0,1488329988.0,1488162012.0,25,[],[],None,1764286.0,Design,None,1486504514.0,1488268800.0,Professor side,smscoggi
8,closed,karanjadhav2508,"[u'karanjadhav2508', u'smscoggi', u'alokozai']",6,1488329905.0,1488329905.0,1488163000.0,26,[],[],None,1591553.0,Implementation,None,1486504447.0,1488096000.0,Report,smscoggi
9,milestoned,smscoggi,"[u'smscoggi', u'alokozai']",9,1488253451.0,,1488154558.0,21,[u'84b6eb'],[u'enhancement'],None,1764286.0,Design,None,1486504514.0,1488268800.0,Database + GUI ,smscoggi
