,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
0,closed,MichaelGoff,"[u'MichaelGoff', u'bhaskarsinha1311', u'jdeng8', u'sshankjha']",0,1492543614.0,1492543614.0,1489696821.0,45,"[u'0e8a16', u'0052cc', u'd4c5f9']","[u'approach1', u'approach2', u'approach3']",None,6080359.0,March Milestone (Due April 7),None,1485468041.0,1491548400.0,Lightning / Tech Talk,sshankjha
1,closed,MichaelGoff,"[u'MichaelGoff', u'bhaskarsinha1311', u'jdeng8', u'sshankjha']",12,1491940277.0,1491940277.0,1490908972.0,47,[u'fef2c0'],[u'Conversation'],None,6080359.0,March Milestone (Due April 7),None,1485468041.0,1491548400.0,Report / ppt discussion,sshankjha
2,closed,MichaelGoff,"[u'MichaelGoff', u'bhaskarsinha1311', u'jdeng8', u'sshankjha']",0,1491940253.0,1491940253.0,1489696799.0,44,"[u'0e8a16', u'0052cc', u'd4c5f9']","[u'approach1', u'approach2', u'approach3']",None,6080359.0,March Milestone (Due April 7),None,1485468041.0,1491548400.0,Deep analysis paper,sshankjha
3,closed,MichaelGoff,"[u'MichaelGoff', u'bhaskarsinha1311', u'jdeng8', u'sshankjha']",0,1491514145.0,1491514144.0,1487887157.0,39,"[u'0e8a16', u'0052cc', u'd4c5f9']","[u'approach1', u'approach2', u'approach3']",3184616.0,1750304.0,Approach 2,1490909112.0,1487724496.0,1489474800.0,Unit Tests,sshankjha
4,closed,sshankjha,[u'sshankjha'],0,1490983215.0,1490983215.0,1487813560.0,33,"[u'0052cc', u'84b6eb', u'ffffff']","[u'approach2', u'enhancement', u'wontfix']",3184616.0,1750304.0,Approach 2,1490909112.0,1487724496.0,1489474800.0,Need to display more details on the team view. ,sshankjha
5,closed,MichaelGoff,"[u'MichaelGoff', u'bhaskarsinha1311', u'jdeng8', u'sshankjha']",5,1490983185.0,1490983185.0,1490022631.0,46,[u'fef2c0'],[u'Conversation'],None,6080359.0,March Milestone (Due April 7),None,1485468041.0,1491548400.0,Evaluation method discussion,sshankjha
6,referenced,[],[],0,1490922599.0,1490919174.0,1490919098.0,49,[],[],None,None,None,None,None,None,Approach3,sshankjha
7,referenced,[],[],0,1490922599.0,1490919158.0,1490919073.0,48,[],[],None,None,None,None,None,None,Approach2,sshankjha
8,closed,bhaskarsinha1311,[u'bhaskarsinha1311'],5,1490920697.0,1490920697.0,1490919132.0,50,[],[],None,None,None,None,None,None,Approach1,sshankjha
9,merged,bhaskarsinha1311,[u'bhaskarsinha1311'],5,1490920697.0,1490920697.0,1490919132.0,50,[],[],None,None,None,None,None,None,Approach1,sshankjha
10,reopened,bhaskarsinha1311,[u'bhaskarsinha1311'],5,1490919957.0,1490920697.0,1490919132.0,50,[],[],None,None,None,None,None,None,Approach1,sshankjha
11,closed,bhaskarsinha1311,[u'bhaskarsinha1311'],5,1490919926.0,1490920697.0,1490919132.0,50,[],[],None,None,None,None,None,None,Approach1,sshankjha
12,reopened,bhaskarsinha1311,[u'bhaskarsinha1311'],5,1490919918.0,1490920697.0,1490919132.0,50,[],[],None,None,None,None,None,None,Approach1,sshankjha
13,closed,bhaskarsinha1311,[u'bhaskarsinha1311'],5,1490919915.0,1490920697.0,1490919132.0,50,[],[],None,None,None,None,None,None,Approach1,sshankjha
14,assigned,bhaskarsinha1311,[u'bhaskarsinha1311'],5,1490919314.0,1490920697.0,1490919132.0,50,[],[],None,None,None,None,None,None,Approach1,bhaskarsinha1311
15,closed,[],[],0,1490919174.0,1490919174.0,1490919098.0,49,[],[],None,None,None,None,None,None,Approach3,sshankjha
16,merged,[],[],0,1490919174.0,1490919174.0,1490919098.0,49,[],[],None,None,None,None,None,None,Approach3,sshankjha
17,referenced,[],[],0,1490919174.0,1490919174.0,1490919098.0,49,[],[],None,None,None,None,None,None,Approach3,sshankjha
18,closed,[],[],0,1490919158.0,1490919158.0,1490919073.0,48,[],[],None,None,None,None,None,None,Approach2,sshankjha
