,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
0,milestoned,dndesai,"[u'dndesai', u'popoosl', u'czhao13rm']",0,1492618665.0,1486395688.0,1485624096.0,1,"[u'5319e7', u'c5def5']","[u'core', u'note']",None,1008808.0,First Round Developing and Testing,None,1486395992.0,1487404800.0,Jan report - Outline,dndesai
1,milestoned,[],[],1,1492618571.0,1489094376.0,1486417271.0,8,[u'84b6eb'],[u'enhancement'],None,1008808.0,First Round Developing and Testing,None,1486395992.0,1487404800.0,Feb Milestone - Detailed plan and work distribution,dndesai
2,milestoned,[],[],0,1492618559.0,1492615515.0,1486505374.0,9,[u'f9d0c4'],[u'hard'],None,232640.0,Prototype Design,None,1486394560.0,1486627200.0,Critical issues,dndesai
3,milestoned,[],[],1,1492618549.0,1489589204.0,1487526818.0,10,[u'c5def5'],[u'note'],None,1008808.0,First Round Developing and Testing,None,1486395992.0,1487404800.0,Be careful of the gitignore,dndesai
4,milestoned,popoosl,"[u'popoosl', u'Rushi-Bhatt', u'czhao13rm']",1,1492618540.0,1487542379.0,1487527637.0,11,[u'128A0C'],[u'help wanted'],None,1094780.0,Feedback and Adjustment ,None,1486396420.0,1487491200.0,Development on cloud 9,dndesai
5,milestoned,[],[],0,1492618524.0,1489094402.0,1487708306.0,13,[u'c5def5'],[u'medium'],None,491088.0,Technical Design,None,1486395312.0,1486886400.0,Data model fix,dndesai
6,milestoned,[],[],2,1492618515.0,1487881202.0,1487733230.0,14,[u'c5def5'],[u'note'],None,1440022.0,Second Round Developing and Testing,None,1486396778.0,1487836800.0,Small issue about login and sign up,dndesai
7,milestoned,dndesai,"[u'dndesai', u'Rushi-Bhatt', u'czhao13rm']",1,1492618499.0,1489094343.0,1487972020.0,15,"[u'128A0C', u'cc317c']","[u'help wanted', u'question']",None,1008808.0,First Round Developing and Testing,None,1486395992.0,1487404800.0,The search course function,dndesai
8,milestoned,popoosl,"[u'popoosl', u'Rushi-Bhatt']",1,1492618490.0,1489587764.0,1488243456.0,16,[u'128A0C'],[u'help wanted'],None,1094780.0,Feedback and Adjustment ,None,1486396420.0,1487491200.0,Issue with storing form data to multiple tables,dndesai
9,milestoned,[],[],1,1492618477.0,1489094301.0,1488252156.0,17,[u'c5def5'],[u'note'],None,491088.0,Technical Design,None,1486395312.0,1486886400.0,Take care of db migration,dndesai
10,milestoned,popoosl,[u'popoosl'],2,1492618462.0,1489184982.0,1489157902.0,19,[u'128A0C'],[u'help wanted'],None,232640.0,Prototype Design,None,1486394560.0,1486627200.0,Session Management,dndesai
11,milestoned,[],[],2,1492618451.0,1492615373.0,1489587860.0,20,"[u'84b6eb', u'128A0C']","[u'enhancement', u'help wanted']",None,1008808.0,First Round Developing and Testing,None,1486395992.0,1487404800.0,Visual representations,dndesai
12,demilestoned,[],[],0,1492618354.0,1489094402.0,1487708306.0,13,[u'c5def5'],[u'medium'],None,491088.0,Technical Design,None,1486395312.0,1486886400.0,Data model fix,dndesai
13,demilestoned,[],[],2,1492618337.0,1487881202.0,1487733230.0,14,[u'c5def5'],[u'note'],None,1440022.0,Second Round Developing and Testing,None,1486396778.0,1487836800.0,Small issue about login and sign up,dndesai
14,demilestoned,dndesai,"[u'dndesai', u'Rushi-Bhatt', u'czhao13rm']",1,1492618327.0,1489094343.0,1487972020.0,15,"[u'128A0C', u'cc317c']","[u'help wanted', u'question']",None,1008808.0,First Round Developing and Testing,None,1486395992.0,1487404800.0,The search course function,dndesai
15,demilestoned,popoosl,"[u'popoosl', u'Rushi-Bhatt']",1,1492618306.0,1489587764.0,1488243456.0,16,[u'128A0C'],[u'help wanted'],None,1094780.0,Feedback and Adjustment ,None,1486396420.0,1487491200.0,Issue with storing form data to multiple tables,dndesai
16,demilestoned,[],[],1,1492618297.0,1489094301.0,1488252156.0,17,[u'c5def5'],[u'note'],None,491088.0,Technical Design,None,1486395312.0,1486886400.0,Take care of db migration,dndesai
17,demilestoned,popoosl,[u'popoosl'],2,1492618282.0,1489184982.0,1489157902.0,19,[u'128A0C'],[u'help wanted'],None,232640.0,Prototype Design,None,1486394560.0,1486627200.0,Session Management,dndesai
18,demilestoned,[],[],2,1492618255.0,1492615373.0,1489587860.0,20,"[u'84b6eb', u'128A0C']","[u'enhancement', u'help wanted']",None,1008808.0,First Round Developing and Testing,None,1486395992.0,1487404800.0,Visual representations,dndesai
19,milestoned,[],[],0,1492618131.0,1492615515.0,1486505374.0,9,[u'f9d0c4'],[u'hard'],None,232640.0,Prototype Design,None,1486394560.0,1486627200.0,Critical issues,dndesai
20,milestoned,[],[],1,1492618098.0,1489589204.0,1487526818.0,10,[u'c5def5'],[u'note'],None,1008808.0,First Round Developing and Testing,None,1486395992.0,1487404800.0,Be careful of the gitignore,dndesai
21,milestoned,popoosl,"[u'popoosl', u'Rushi-Bhatt', u'czhao13rm']",1,1492618065.0,1487542379.0,1487527637.0,11,[u'128A0C'],[u'help wanted'],None,1094780.0,Feedback and Adjustment ,None,1486396420.0,1487491200.0,Development on cloud 9,dndesai
22,milestoned,[],[],0,1492617998.0,1489094402.0,1487708306.0,13,[u'c5def5'],[u'medium'],None,491088.0,Technical Design,None,1486395312.0,1486886400.0,Data model fix,dndesai
23,milestoned,[],[],2,1492617968.0,1487881202.0,1487733230.0,14,[u'c5def5'],[u'note'],None,1440022.0,Second Round Developing and Testing,None,1486396778.0,1487836800.0,Small issue about login and sign up,dndesai
24,milestoned,dndesai,"[u'dndesai', u'Rushi-Bhatt', u'czhao13rm']",1,1492617939.0,1489094343.0,1487972020.0,15,"[u'128A0C', u'cc317c']","[u'help wanted', u'question']",None,1008808.0,First Round Developing and Testing,None,1486395992.0,1487404800.0,The search course function,dndesai
25,milestoned,popoosl,"[u'popoosl', u'Rushi-Bhatt']",1,1492617797.0,1489587764.0,1488243456.0,16,[u'128A0C'],[u'help wanted'],None,1094780.0,Feedback and Adjustment ,None,1486396420.0,1487491200.0,Issue with storing form data to multiple tables,dndesai
26,milestoned,[],[],1,1492617764.0,1489094301.0,1488252156.0,17,[u'c5def5'],[u'note'],None,491088.0,Technical Design,None,1486395312.0,1486886400.0,Take care of db migration,dndesai
27,milestoned,popoosl,[u'popoosl'],2,1492617720.0,1489184982.0,1489157902.0,19,[u'128A0C'],[u'help wanted'],None,232640.0,Prototype Design,None,1486394560.0,1486627200.0,Session Management,dndesai
28,milestoned,[],[],2,1492617680.0,1492615373.0,1489587860.0,20,"[u'84b6eb', u'128A0C']","[u'enhancement', u'help wanted']",None,1008808.0,First Round Developing and Testing,None,1486395992.0,1487404800.0,Visual representations,dndesai
29,labeled,[],[],1,1492616644.0,1489094301.0,1488252156.0,17,[u'c5def5'],[u'note'],None,491088.0,Technical Design,None,1486395312.0,1486886400.0,Take care of db migration,dndesai
30,labeled,[],[],2,1492616622.0,1487881202.0,1487733230.0,14,[u'c5def5'],[u'note'],None,1440022.0,Second Round Developing and Testing,None,1486396778.0,1487836800.0,Small issue about login and sign up,dndesai
31,labeled,[],[],1,1492616559.0,1489094376.0,1486417271.0,8,[u'84b6eb'],[u'enhancement'],None,1008808.0,First Round Developing and Testing,None,1486395992.0,1487404800.0,Feb Milestone - Detailed plan and work distribution,dndesai
