,action,assignee,assignees_name,comments,event_created_at,issue_closed_at,issue_created_at,issue_id,labels_color,labels_name,mclose_created,mdue_created,milestone,milestone_closed_at,milestone_created_at,milestone_due_on,title,user
615,added_to_project,DevArenaCN,[u'DevArenaCN'],1,1486572431.0,1487284944.0,1486572405.0,8,[u'd4c5f9'],[u'MagicLink'],1041655.0,919947.0,Magic link setup complete,1487612908.0,1486571253.0,1487491200.0,Resources on setting up server for MagicLink,DevArenaCN
616,assigned,DevArenaCN,[u'DevArenaCN'],1,1486572406.0,1487284944.0,1486572405.0,8,[u'd4c5f9'],[u'MagicLink'],1041655.0,919947.0,Magic link setup complete,1487612908.0,1486571253.0,1487491200.0,Resources on setting up server for MagicLink,KaustubhG
617,assigned,DevArenaCN,[u'DevArenaCN'],1,1486572406.0,1487284944.0,1486572405.0,8,[u'd4c5f9'],[u'MagicLink'],1041655.0,919947.0,Magic link setup complete,1487612908.0,1486571253.0,1487491200.0,Resources on setting up server for MagicLink,DevArenaCN
618,assigned,DevArenaCN,[u'DevArenaCN'],1,1486572406.0,1487284944.0,1486572405.0,8,[u'd4c5f9'],[u'MagicLink'],1041655.0,919947.0,Magic link setup complete,1487612908.0,1486571253.0,1487491200.0,Resources on setting up server for MagicLink,thegreyd
619,milestoned,DevArenaCN,[u'DevArenaCN'],1,1486572405.0,1487284944.0,1486572405.0,8,[u'd4c5f9'],[u'MagicLink'],1041655.0,919947.0,Magic link setup complete,1487612908.0,1486571253.0,1487491200.0,Resources on setting up server for MagicLink,DevArenaCN
620,labeled,DevArenaCN,[u'DevArenaCN'],1,1486572405.0,1487284944.0,1486572405.0,8,[u'd4c5f9'],[u'MagicLink'],1041655.0,919947.0,Magic link setup complete,1487612908.0,1486571253.0,1487491200.0,Resources on setting up server for MagicLink,DevArenaCN
621,added_to_project,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1486572350.0,1487306515.0,1486571712.0,3,[u'c2e0c6'],[u'Fingerprint'],1041694.0,919984.0,Fingerprint authentication complete,1487612910.0,1486571216.0,1487491200.0,Searching for resources for Fingerprint authentication,DevArenaCN
622,added_to_project,KaustubhG,[u'KaustubhG'],1,1486572343.0,1486656922.0,1486571863.0,7,[u'e99695'],[u'UI'],379533.0,228808.0,Setup UI for the app,1486950725.0,1486571192.0,1486800000.0,UI design,DevArenaCN
623,added_to_project,thegreyd,"[u'thegreyd', u'DevArenaCN']",2,1486572340.0,1487299053.0,1486571688.0,2,[u'd4c5f9'],[u'MagicLink'],1041655.0,919947.0,Magic link setup complete,1487612908.0,1486571253.0,1487491200.0,Set up server for magic link,DevArenaCN
624,added_to_project,thegreyd,"[u'thegreyd', u'DevArenaCN', u'KaustubhG']",1,1486572337.0,1487685341.0,1486571741.0,4,[u'c2e0c6'],[u'Fingerprint'],2427222.0,4372335.0,Testing and debugging,1488998487.0,1486571265.0,1490943600.0,Fingerprint authentication issues,DevArenaCN
